MOLECULE,OUTCOME,,,
COC1=CC(OC2=CC(Cl)=C(Cl)C=C2)=C(CN(C)C)C=C1,6.630784143,2.369215857,233.9999998,1
COC1=CC([C@H](C2=C(OC)N=C3C=CC(Br)=CC3=C2)[C@@](O)(CCN(C)C)C2=CC(OC)=NC(OC)=C2)=C(OC)N=C1,5.657577319,3.342422681,2200.000001,1
COC1=CC([C@H](C2=C(OC)N=C3C=CC(C#N)=CC3=C2)[C@@](O)(CCN(C)C)C2=CC(OC)=NC(OC)=C2)=C(OC)N=C1,5.508638306,3.491361694,3100.000001,1
COC1=CC([C@@H](C)N2[C@H]3CC[C@@H]2C[C@@H](OC2=CC(C(N)=O)=CC=C2)C3)=CC=C1,8.337242168,0.662757832,4.600000003,1
COC1=CC2=C(C=C1)C(C(=O)NC(C)(C)C)N(CC1=CC=CC=C1C1=CC=CC=C1)C2=O,4.522878745,4.477121255,30000.00002,0
COC1=CC2=C(C=C1)CCCC21CCN(CCCSC2=NN=C(C3=C(C)N=CO3)N2C)C1,5.200000237,3.799999763,6309.570002,1
COC1=CC2=C(CCN(C(=O)[C@@]34CCC[C@@H]3C[C@@H](NC3CCOCC3OC)C4)C2)N=C1,4.331614083,4.668385917,46600.00003,0
COC1=CC2=C(C=C1)CCC(=O)N2CCN1CCC(NCC2=NC3=C(C=C2)OCC(=O)N3)CC1,4.537602002,4.462397998,29000.00001,0
COC1=CC2=C(C=C1)OCC(=O)N2CCN1CCC(NCC2=NC=C3OCCOC3=C2)CC1,4.886056648,4.113943352,12999.99999,0
COC1=CC2=C(C=C1)S(=O)(=O)C(C)C(C1=CC=C(OCCCN3CCCC3)C=C1)O2,5.769551079,3.230448921,1699.999999,1
COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C(=O)NS(=O)(=O)C(C)C)C=C3)N1C[C@@]1(C(=O)N3C4CCC3CN(C)C4)C[C@@H]21,4.388276692,4.611723308,40900,0
COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C(=O)NS(=O)(=O)C4CCC4)C=C3)N1C[C@@]1(C(=O)N3C4CCC3CN(C)C4)C[C@@H]21,4.419075024,4.580924976,38100.00003,0
COC1=CC2=C(C=C1)NC1=C2C[C@H]2C3=C(C=C4OCOC4=C3)CCN2C1,4.879426069,4.120573931,13199.99999,0
COC1=CC2=C(C=C1)C(=O)N(CC(O)CO)C(C#N)=C2C1=CC(C(F)(F)F)=CC=C1,4.795880017,4.204119983,16000.00001,0
COC1=CC2=C(C=C1)C(=O)N(CC(O)CO)C(C#N)=C2C1=CC(F)=CC=C1,4.474955193,4.525044807,33500,0
COC1=CC2=C(C=C1)C(=O)N(C[C@H](O)CO)C(C#N)=C2C1=CC=CC=C1,3.869666232,5.130333768,134999.9998,0
COC1=CC2=C(C=C1)C(=O)N(C)C(C1=CC=C(OC3CCN(C4CCC4)CC3)C=C1)=N2,5.366531544,3.633468456,4300.000004,1
COC1=CC2=C(C=C1)C(=O)N(C1=CC=C(OCCCN3CCCC3)C=C1)C(C)=N2,5,4,10000,1
COC1=CC2=C(C=C1)C(C)=CC(=O)N2CCN1CCC(NCC2=NC=C3OCCOC3=C2)CC1,4.638272164,4.361727836,23000,0
COC1=CC2=C(C=C1)C(=O)C=C(C(=O)NC1CCN(CC3=CC4=C(C=C3)OCO4)CC1)O2,7.93930216,1.06069784,11.49999999,1
COC1=CC2=C(N=C1)C(CCC13CCC(NCC4=NC5=C(C=C4)OCC(=O)N5)(CC1)CO3)=CC=N2,7.80631897,1.19368103,15.62000002,1
COC1=CC2=C(C=CC(=O)N2CCN2CCC(NCC3=NC=C4OCCOC4=C3)CC2)C=C1,4.468521083,4.531478917,34000,0
COC1=CC2=C(C=CC(=O)N2CCN2CCC(C3=NC4=C(C=C(C)C(C#N)=C4)N3)CC2)N=C1,5,4,10000,1
COC1=CC2=C(C=CC(=O)N2CCN2CCC(C3=NC4=C(C=C(C)C(Cl)=C4)N3)CC2)N=C1,5.853871964,3.146128036,1400.000001,1
COC1=CC2=C(C=CC(=O)N2CCN2CCC(C3=NC4=C(C=C(F)C(Cl)=C4)N3)CC2)N=C1,5.920818754,3.079181246,1200,1
COC1=CC2=C(C=CC(=O)N2CCN2CCC(C3=NC4=C(C=CC(C#N)=C4)N3)CC2)N=C1,5.346787486,3.653212514,4500.000002,1
COC1=CC2=C(C=CC(=O)N2CCN2CCC(C3=NC4=C(C=CC(Cl)=C4)N3)CC2)N=C1,6,3,1000,1
COC1=CC2=C(C=CC(=O)N2CCN2CCC(C3=CNC4=CC=C(C#N)C=C43)CC2)N=C1,5.698970004,3.301029996,2000.000002,1
COC1=CC2=C(C=CC(=O)N2CCN2CCN(C3=NC4=C(C=CC(C(F)(F)F)=C4)N3)CC2)N=C1,5,4,10000,1
COC1=CC2=C(C=C1)N=C(C1=CC=C(OC3CCN(C4CCC4)CC3)C=C1)N(C)C2=O,5.420216403,3.579783597,3800.000003,1
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CCC(NCC2=NC=C3OCCOC3=C2)CC1,4.721246399,4.278753601,19000,0
COC1=CC2=C(N=CC(=O)N2CCN2CCC(C3=NC4=C(C=C(C)C(Cl)=C4)N3)CC2)N=C1,5,4,10000,1
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@H](NCC2=NC3=C(C=C2)OCC(=O)N3)[C@H](F)C1,4.602059991,4.397940009,25000.00002,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@H](NCC2=NC3=C(C=C2)OCC(=O)N3)[C@H](O)C1,3.764471553,5.235528447,172000,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@@H](NCC2=NC3=C(C=C2)OCC(=O)N3)[C@H](OC)C1,4.568636236,4.431363764,26999.99999,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@H](NCC2=NC3=C(C=C2)OCC(=O)N3)[C@@H](F)C1,4.721246399,4.278753601,19000,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@@H](NCC2=NC3=C(C=C2)OCC(=O)N3)[C@@H](F)C1,4.494850022,4.505149978,31999.99998,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@@H](NCC2=NC3=C(C=C2)OCC(=O)N3)[C@@H](O)C1,3.818156412,5.181843588,152000,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@@H](NCC2=NC=C3OCCOC3=C2)[C@@H](O)C1,4.823908741,4.176091259,15000,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@H](NCC2=NC=C3OCCOC3=C2)[C@@H](OC)C1,4.031517051,4.968482949,93000.0001,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@@H](NCC2=NC3=C(C=C2)OCC(=O)N3)[C@@H](OC)C1,4.055517328,4.944482672,87999.99997,0
COC1=CC2=C(C=C1)N=CC(=O)N2CCN1CC[C@@H](NCC2=NC=C3OCCOC3=C2)[C@@H](OC)C1,4.124938737,4.875061263,74999.99993,0
COC1=CC2=C(C=C1)N=CC(F)=C2CCN1CCC(NCC2=NC=C3OCCOC3=C2)CC1,5.301029996,3.698970004,4999.999996,1
COC1=CC2=C(C=C1)N=CC(C#N)=C2CCN1CCC(NCC2=NC=C3OCSC3=C2)CC1,6.301029996,2.698970004,499.9999996,1
COC1=CC2=C(C=C1)N=CC(F)=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=C(F)C(F)=CC=C3)C2)C[C@@H]1C(=O)O,4.602059991,4.397940009,25000.00002,0
COC1=CC2=C(C=C1)N=CC(F)=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=C(F)C=CC(F)=C3)C2)C[C@@H]1C(=O)O,4.066006836,4.933993164,85900.00003,0
COC1=CC2=C(C=C1)N=CC(F)=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=C(F)C=CC=C3F)C2)C[C@@H]1C(=O)O,4.343901798,4.656098202,45300,0
COC1=CC2=C(C=C1)N=CC(F)=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=C(F)C=CC=N3)C2)C[C@@H]1C(=O)O,4.970616222,4.029383778,10700.00001,0
COC1=CC2=C(C=C1)N=CC(F)=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=CC(F)=CC(F)=C3)C2)C[C@@H]1C(=O)O,4.850780887,4.149219113,14100.00001,0
COC1=CC2=C(C=C1)N=CC(F)=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=CC=CC=C3)C2)C[C@@H]1C(=O)O,4.651695137,4.348304863,22300,0
COC1=CC2=C(C=C1)N=CC=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=C(F)C=CC=C3F)C2)C[C@@H]1C(=O)O,4.322393047,4.677606953,47600.00003,0
COC1=CC2=C(C=C1)N=CC=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=CC=CC=C3)C2)C[C@@H]1C(=O)O,4.603800653,4.396199347,24899.99999,0
COC1=CC=C(N2C=C3N=C(C4=C(C)C=CC=C4)N(CC4CCCN(C(C)C)C4)C(=O)C3=N2)C=C1,4.958607315,4.041392685,11000,0
COC1=CC=C(N2C=C3N=C(C4=C(C)N=CC=C4)N(C[C@H]4CCCN(C[C@H]5CCCO5)C4)C(=O)C3=N2)C=C1,5.387216143,3.612783857,4100.000003,1
COC1=CC=C(C2=CN3N=CC(C(N)=O)=C(N[C@@H]4CC[C@](C)(N)C4(C)C)C3=C2)C=C1,4.860120914,4.139879086,13799.99999,0
COC1=CC=C(C2=CNC([C@H]3CC4=C(NC5=C4C=CC=C5)[C@@H](C4CCOCC4)N3)=N2)C=C1,7.161150909,1.838849091,69.00000004,1
COC1=CC=C(C2=NN=C(C(=O)N3CC(OC4=CC(C)=C(CN(C)C)C=C4)C3)O2)C=C1,5,4,10000,1
COC1=CC=C(C2=NN=C(C(=O)N3CC(OC4=CC(F)=C(CN(C)C)C=C4)C3)O2)C=C1,4.823908741,4.176091259,15000,0
COC1=CC=C(C2=NN=C(C(=O)N3CC(OC4=CC=C(CN(C)C)C=C4)C3)O2)C=C1,4.677780705,4.322219295,21000.00001,0
COC1=CC=C(C2=NN=C(C(=O)N3CC(OC4=CC=C(CN5CC(OC)C5)C=C4)C3)O2)C=C1,5.070581074,3.929418926,8500.000006,1
COC1=CC=C(C2=NN=C(C(=O)N3CC(OC4=CC=C(CN5CC6(COC6)C5)C=C4)C3)O2)C=C1,4.657577319,4.342422681,22000.00001,0
COC1=CC=C(C2=NN=C(C(=O)N3CC(OC4=CC=C(CN5CC6(CCOC6)C5)C=C4)C3)O2)C=C1,4.795880017,4.204119983,16000.00001,0
COC1=CC=C(C2=NN=C(C(=O)N3CC(OC4=CC=C(CN5CC6(CCCO6)C5)C=C4)C3)O2)C=C1,4.886056648,4.113943352,12999.99999,0
COC1=CC=C(C2=NN=C(C(=O)N3CC(OC4=CC=C(CN5CCCC5)C=C4)C3)O2)C=C1,5.259637311,3.740362689,5499.999994,1
COC1=CC=C(C2=NN=C(C(=O)N3CCC(OC4=CC=C(CN5CC(O)C(C)(C)C5)C=C4)CC3)O2)C=C1,5,4,10000,1
COC1=CC=C(C2=NN=C(C(=O)N3CCC(OC4=CC=C(CN5CCC(O)C5)C=C4)CC3)O2)C=C1,4.619788758,4.380211242,24000.00002,0
COC1=CC=C(C2=NN=C(C(=O)N3CCC(OC4=CC=C(CN5CCCC5)C=C4)CC3)O2)C=C1,4.958607315,4.041392685,11000,0
COC1=CC=C(C2=NN=C(C(=O)N3CCC(OC4=CC=C(CN5CCN(C)CC5)C=C4)CC3)O2)C=C1,4.823908741,4.176091259,15000,0
COC1=CC=C(C2=NN=C(C(=O)N3CCC(OC4=CC=C(CN5CCOCC5)C=C4)CC3)O2)C=C1,4.795880017,4.204119983,16000.00001,0
COC1=CC=C(C2=NN=C(C(=O)N3CCC(OC4=CN=C(CN5CCCC5)C=C4)CC3)O2)C=C1,4.602059991,4.397940009,25000.00002,0
COC1=CC=C(C2=NC(CCOC3=CC(C[C@@H]4C(=O)N(C5=CC=C(C(C)(C)C)C=C5)[C@@H]4C(=O)O)=CC=C3)=C(C)O2)C=C1,5.494850022,3.505149978,3199.999998,1
COC1=CC=C(C2=NC(COC3=CC(CN(CC(=O)O)C(=O)OC4=CC=C(C)C=C4)=CC=C3)=C(C)O2)C=C1,5.065501549,3.934498451,8599.999995,1
COC1=CC=C(C(=O)OC2=CC=C(S(=O)(=O)C3(C(=O)NO)CCC4(CCNCC4)C3)C=C2)C=C1,4.197910742,4.802089258,63400.00002,0
COC1=CC=C(CC(C)(C)NCC(O)COC2=C(C#N)C=CC=C2)C=C1,5.455931956,3.544068044,3499.999997,1
COC1=CC=C(CCCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2C2=CC=C(OC)C=C2)C=C1,4.850780887,4.149219113,14100.00001,0
COC1=CC=C(CCCN2C(=O)N(NS(C)(=O)=O)C[C@H]2C2=CC=C(OC)C=C2)C=C1,4.844663963,4.155336037,14299.99998,0
COC1=CC=C(CCN2C(=O)N(NS(C)(=O)=O)CC2C2=CC=C(C(F)(F)F)C=C2)C=C1,5.040958608,3.959041392,9099.999993,1
COC1=CC=C(CCN2C(=O)N(NS(C)(=O)=O)CC2C2=CC=C(C)C=C2)C=C1,4.950781977,4.049218023,11200.00001,0
COC1=CC=C(CCN2C(=O)N(NS(C)(=O)=O)CC2C2=CC=C(C3CC3)C=C2)C=C1,5.075720714,3.924279286,8399.999999,1
COC1=CC=C(CCN2C(=O)N(NS(C)(=O)=O)CC2C2=CC=C(Cl)C=C2)C=C1,5.060480747,3.939519253,8700.000008,1
COC1=CC=C(CCN2C(=O)N(NS(C)(=O)=O)CC2C2=CC=C(OC(C)C)C=C2)C=C1,4.769551079,4.230448921,16999.99999,0
COC1=CC=C(CCN2CCN(CCC3=CC=C([N+](=O)[O-])C=C3)CC2)C=C1,8.15490196,0.84509804,7,1
COC1=CC=C(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2C2=CC=C(OC)C=C2)C=C1,4.573488739,4.426511261,26699.99998,0
COC1=CC=C(CCN2C(=O)N(NS(=O)(=O)CC#N)C[C@@H]2C2=CC=C(OC)C=C2)C=C1,4.48148606,4.51851394,33000.00001,0
COC1=CC=C(CCN2C(=O)N(NS(=O)(=O)CC3=CC=CC=C3)C[C@@H]2C2=CC=C(OC)C=C2)C=C1,5.356547324,3.643452676,4399.999995,1
COC1=CC=C(CCN2C(=O)N(NS(C)(=O)=O)C[C@H]2C2=CC=C(OC)C=C2)C=C1,4.821023053,4.178976947,15099.99999,0
COC1=CC=C(CN2CCC(NC(=O)C3=CC(=O)C4=C(C=C(F)C=C4)O3)CC2)C=C1,8.26760624,0.73239376,5.400000002,1
COC1=CC=C(CN2CCC3=C(C=C4SC(N)=NC4=C3)CC2)C=C1,5.48148606,3.51851394,3300.000001,1
COC1=CC=C(CN2C(=O)N3N=CN=C3C3=C2SC2=C3CCN(CC3CCOCC3)C2)C=C1,5.657577319,3.342422681,2200.000001,1
COC1=CC=C(N2CCN(CC3=NN4C(N)=NC5=C(C=CC=C5OC)C4=N3)[C@H](C)C2)C=C1,4.682981899,4.317018101,20750,0
COC1=CC=C(N2C(=O)[C@@H](CC3=CC=C(OCCC4=C(C)OC(C5=CC=CC=C5)=N4)C=C3)[C@H]2C(=O)O)C=C1,4.26760624,4.73239376,54000.00002,0
COC1=CC=C(NC(=N)NCCCOC2=CC=C(F)C=C2)C=C1,6.38007229,2.61992771,416.7999997,1
COC1=CC=C(OC2=CC=C(S(=O)(=O)C3(C(=O)NO)CCC4(CCNCC4)C3)C=C2)C=C1,4.431798276,4.568201724,36999.99999,0
COC1=CC=C([C@H]2CN(NS(C)(=O)=O)C(=O)N2CCC2=CC=C(OC(F)(F)F)C=C2)C=C1,5.251811973,3.748188027,5600,1
COC1=NC(C2=CNC([C@H]3CC4=C(NC5=C4C=CC=C5)[C@@H](C4CCOCC4)N3)=N2)=CC=C1,5.989276135,3.010723865,1024.999999,1
COC1=NC(C2=CNC([C@H]3CC4=C(NC5=C4C=CC=C5)[C@](C4=CN(C)N=C4)(C4=NOC(C)=N4)N3)=N2)=CC=C1,5.441411417,3.558588583,3618.999999,1
COC1=NC(COCC2(C3=CC=C(F)C=C3)CCN(C)CC2)=CC(C(F)(F)F)=C1,5.004364805,3.995635195,9900.000009,1
COC1=NC(CN2C=CC3=NC(N)=NC(NCC4=NOC(C)=C4)=C32)=CC=C1,5.638272164,3.361727836,2300,1
COC1=NC(N(C)C)=CC([C@](O)(CCN(C)C)[C@@H](C2=C(OC)N=C3C=CC(C#N)=CC3=C2)C2=C(OC)C(OC)=NC=C2)=C1,5.468521083,3.531478917,3400,1
COC1=NC(N2CCC3(CCN(C[C@H](O)C4=C(C)C5=C(C=C4)C(=O)OC5)CC3)C2=O)=CC=N1,5.086186148,3.913813852,8199.999993,1
COC1=CC=CC([C@H](C2=C(OC)N=C3C=CC(C#N)=CC3=C2)[C@@](O)(CCN(C)C)C2=CC(OC)=NC(OC(F)F)=C2)=C1F,5.27572413,3.72427587,5300.000005,1
COC1=NC(OC(F)F)=CC([C@](O)(CCN(C)C)[C@@H](C2=C(OC)N=C3C=CC(C#N)=CC3=C2)C2=C(OC)C(OC)=NC=C2)=C1,5.15490196,3.84509804,7000,1
COC1=NC(OC(F)F)=CC([C@](O)(CCN(C)C)[C@@H](C2=C(OC)N=C3C=CC(C#N)=CC3=C2)C2=C3OCOC3=CC=C2)=C1,5.318758763,3.681241237,4799.999996,1
COC1=CC(C(O)(CCN2C=CN=C2)C(C2=C(OC)N=C3C=CC(Br)=CC3=C2)C2=C(OC)C(OC)=CC=C2)=CC(OC)=N1,4.958607315,4.041392685,11000,0
COC1=CC([C@](O)(CCN(C)C)[C@@H](C2=C(OC)N=C3C=CC(Br)=CC3=C2)C2=C(OC)N=C(OC)C(OC)=C2)=CC(OC)=N1,5.229147988,3.770852012,5900.000005,1
COC1=CC([C@](O)(CCN(C)C)[C@H](C2=C(OC)N=CC=C2)C2=C(OC)N=C3C=CC(Br)=CC3=C2)=CC(OC)=N1,5.769551079,3.230448921,1699.999999,1
COC1=CC([C@](O)(CCN(C)C)[C@H](C2=C(OC)N=CC(OC(C)C)=C2)C2=C(OC)N=C3C=CC(C#N)=CC3=C2)=CC(OC)=N1,5.619788758,3.380211242,2400.000002,1
COC1=CC([C@](O)(CCN(C)C)[C@H](C2=CC(N(C)C)=NC(OC)=C2)C2=C(OC)N=C3C=CC(C#N)=CC3=C2)=CC(OC)=N1,5.026872146,3.973127854,9400.000009,1
COC1=CC([C@](O)(CCN(C)C)[C@H](C2=CC(OC(C)C)=NC(OC)=C2)C2=C(OC)N=C3C=CC(C#N)=CC3=C2)=CC(OC)=N1,4.974694135,4.025305865,10599.99999,0
COC1=CC([C@](O)(CCN(C)C)[C@@H](C2=C(OC)N=C3C=CC(Br)=CC3=C2)C2=C(F)C(OC)=CC=C2)=CC(OC)=N1,4.886056648,4.113943352,12999.99999,0
COC1=CC([C@](O)(CCN(C)C)[C@@H](C2=C(OC)N=C3C=CC(Br)=CC3=C2)C2=C(OC)C(OC)=CC=C2)=CC(OC)=N1,5.657577319,3.342422681,2200.000001,1
COC1=CC([C@](O)(CCN(C)C)[C@@H](C2=C(OC)N=C3C=CC(Br)=CC3=C2)C2=C(OC)C(OC)=NC=C2)=CC(OC)=N1,5.585026652,3.414973348,2600,1
COC1=CC([C@](O)(CCN(C)C)[C@@H](C2=C(OC)N=C3C=CC(C#N)=CC3=C2)C2=C3OCOC3=CC=C2)=CC(OC)=N1,5.795880017,3.204119983,1600.000001,1
COC1=CC=CC([C@H](C2=C(OC)N=C3C=CC(Br)=CC3=C2)[C@@](O)(CCN(C)C)C2=CC(OC)=NC(S(C)(=O)=O)=C2)=C1F,5.744727495,3.255272505,1800,1
COC1=NC([C@]2(O)CC[C@H](N3CC(NC(=O)CNC4=NC=NC5=CC=C(C(F)(F)F)C=C54)C3)CC2)=CC=C1,4.872895202,4.127104798,13399.99999,0
COC1=NC2=C(C=CC(=O)N2CCN2CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)CC2)C=C1,4.638272164,4.361727836,23000,0
COC1=NC2=C(C=CC(=O)N2CCN2CCC(NCC3=NC=C4OCCOC4=C3)CC2)C=C1,4.397940009,4.602059991,39999.99997,0
COC1=NC2=C(C=CC(=O)N2CCN2CCC(NCC3=NC=C4OCCOC4=C3)CC2)C=N1,3.68613278,5.31386722,205999.9998,0
COC1=NC2=C(C=CC(=O)N2C[C@H](N)[C@@H]2CC[C@@H](NCC3=NC4=C(C=C3)OCC(=O)N4)CO2)C=C1,4.283996656,4.716003344,52000.00004,0
COC1=NC2=C(N=C(OC)C=C2)C(CCC23CCC(NCC4=NC5=C(C=C4)OCC(=O)N5)(CC2)CO3)=C1,8.375717904,0.624282096,4.210000002,1
COC1=NC2=C(C=N1)N=CC(=O)N2CCN1CCC(NCC2=NC=C3OCCOC3=C2)CC1,4.091514981,4.908485019,81000.00002,0
COC1=NC2=C(C=C1)N=CC(F)=C2C(CC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2)C(=O)O,6,3,1000,1
COC1=NC2=C(C=C1)N=CC(F)=C2C/C(=N/O)C12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.26760624,3.73239376,5400.000002,1
COC1=NC2=C(C=C1)N=CC(F)=C2C/C(=N\O)C12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.795880017,3.204119983,1600.000001,1
COC1=NC2=C(C=C1)N=CC(F)=C2CC(C)(O)C12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.214670165,3.785329835,6100,1
COC1=NC2=C(C=C1)N=CC(F)=C2CC(NS(C)(=O)=O)C12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.48148606,3.51851394,3300.000001,1
COC1=NC2=C(C=C1)N=CC(F)=C2CC(OCCO)C12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.853871964,3.146128036,1400.000001,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=C(C(C)C)C(C)=C4OCC(=O)NC4=N3)(CC1)CO2,5.920818754,3.079181246,1200,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=C(C)C(C)=C4OCC(=O)NC4=N3)(CC1)CO2,6.301029996,2.698970004,499.9999996,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=C(C)C=C4OCC(=O)NC4=N3)(CC1)CO2,6,3,1000,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=C(Cl)C=C4OCC(=O)NC4=N3)(CC1)CO2,5.236572006,3.763427994,5800.000006,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=C(F)C(C)=C4OCC(=O)NC4=N3)(CC1)CO2,6.045757491,2.954242509,899.9999991,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=C(F)C=C4OCC(=O)NC4=N3)(CC1)CO2,5.886056648,3.113943352,1299.999999,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=NC4=C(OCC(=O)N4)C(C)=C3)(CC1)CO2,6.522878745,2.477121255,300.0000002,1
COC1=NC2=C(C=C1)N=CC(C#N)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,6.431798276,2.568201724,369.9999999,1
COC1=NC2=C(C=C1)N=CC(C(F)(F)F)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,6.886056648,2.113943352,129.9999999,1
COC1=NC2=C(C=C1)N=CC(C(F)F)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.232844134,3.767155866,5849.999999,1
COC1=NC2=C(C=C1)N=CC(C)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,4.561774192,4.438225808,27430.00002,0
COC1=NC2=C(C=C1)N=CC(CO)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.841637508,3.158362492,1440,1
COC1=NC2=C(C=C1)N=CC(Cl)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,6.494850022,2.505149978,319.9999998,1
COC1=NC2=C(C=C1)N=CC(O)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.707743929,3.292256071,1959.999998,1
COC1=NC2=C(C=C1)N=CC(OC)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.370590401,3.629409599,4259.999999,1
COC1=NC2=C(C=C1)N=CC(Cl)=C2CCN1CCC(NCC2=NC=C3OCCOC3=C2)CC1,5.698970004,3.301029996,2000.000002,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCN1CC[C@H](NCC2=NC=C3OCCOC3=C2)[C@H](O)C1,5.102372909,3.897627091,7899.999995,1
COC1=NC2=C(C=C1)N=CC(F)=C2CCN1CC[C@@H](NCC2=NC=C3OCCOC3=C2)[C@@H](O)C1,5.30980392,3.69019608,4900,1
COC1=NC2=C(C=C1)N=CC(F)=C2CC[C@@]1(O)CO[C@@H]2[C@@H](NCC3=CC4=C(C=C3)OCCO4)CO[C@@H]21,4.698970004,4.301029996,20000.00002,0
COC1=NC2=C(C=C1)N=CC(F)=C2CC[C@@]1(O)CO[C@@H]2[C@@H](NCC3=CC=C(C)C=C3)CO[C@@H]21,5.37675071,3.62324929,4199.999996,1
COC1=NC2=C(C=C1)N=CC(F)=C2CC[C@@]1(O)CO[C@@H]2[C@@H](NCC3=NC4=C(C=C3)OCC(=O)N4)CO[C@@H]21,4.920818754,4.079181246,12000,0
COC1=NC2=C(C=C1)N=CC(F)=C2CC[C@]1(O)CC[C@H](NCC2=CC3=C(C=C2)OCCO3)CC1,5.638272164,3.361727836,2300,1
COC1=NC2=C(C=C1)N=CC(F)=C2C[C@H](OC)C12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.22184875,3.77815125,5999.999995,1
COC1=NC2=C(C=C1)N=CC(F)=C2C[C@H](N)[C@@H]1CC[C@@H](NCC2=NC3=C(C=C2)OCC(=O)N3)CO1,5.301029996,3.698970004,4999.999996,1
COC1=NC2=C(C=C1)N=CC(F)=C2[C@H](O)CN1CCC(NCC2=NC=C3OCCOC3=C2)CC1,4.199970641,4.800029359,63099.99996,0
COC1=NC2=C(C=C1)N=CC(F)=C2[C@H](O)[C@@H](O)C12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,4.442492798,4.557507202,36100.00001,0
COC1=NC2=C(C=C1)N=CC(F)=C2[C@H]1OC(=O)O[C@@H]1C12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,4.950781977,4.049218023,11200.00001,0
COC1=NC2=C(C=C1)N=CC(F)=C2[C@@H](O)CC[C@@H]1CCN(C2CC(C3=C(F)C=CC(F)=C3)C2)C[C@@H]1C(=O)O,4.346787486,4.653212514,45000.00002,0
COC1=NC2=C(C=C1)N=CC(F)=C2[C@@H](O)CN1CCC(NCC2=NC=C3OCCOC3=C2)CC1,4.100179498,4.899820502,79399.99992,0
COC1=NC2=C(N=CC=C2CCC23CCC(NCC4=NC5=C(C=C4)OCC(=O)N5)(CC2)CO3)C(C)=C1,8.282329497,0.717670503,5.22,1
