MOLECULE,OUTCOME,,,
CC(N(C)C)C1(C2=CC3=C(C=CC=C3)C=C2)CCCCC1,5.366531544,3.633468456,4300.000004,1
CC(C)(C#N)CC#CC1=C(Cl)C2=C(N=C(C(N)=O)C=C2Cl)N1[C@H]1CCCNC1,8.522878745,0.477121255,3.000000002,1
CC(C)(C)CCN1CCC(CNC(=O)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)CC1,5.744968837,3.255031163,1798.999999,1
CC(C)(C)CCN1CCC(CNC(=O)C2=CC(Cl)=C(Cl)C=C2)CC1,5.980053318,3.019946682,1047.000001,1
CC(C)(C)CCN1CCC(CNC(=O)C2=CC(Cl)=CC(Cl)=C2)CC1,5.71354353,3.28645647,1934.000001,1
CC(C)(C)CCN1CCC(CNC(=O)C2=CC(Cl)=CC=C2)CC1,5.316682738,3.683317262,4823.000001,1
CC(C)(C)CCN1CC[C@H](CNC(=O)C2=CC(Cl)=CC(Cl)=C2)[C@H](F)C1,5.385735713,3.614264287,4113.999997,1
CC(C)(C)CCN1CC[C@@H](CNC(=O)C2=CC(Cl)=CC(Cl)=C2)[C@H](F)C1,5.517984424,3.482015576,3033.999997,1
CC(C)(O)CCOC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.15490196,3.84509804,7000,1
CC(C)CCOC1=NC2=C(C=C1)N=CC(F)=C2CCC12CCC(NCC3=NC4=C(C=C3)OCC(=O)N4)(CC1)CO2,5.455931956,3.544068044,3499.999997,1
CC(C)CN(C(=O)C1=C(C(C)C)C=CC=C1)[C@H]1CCNC1,4.88941029,4.11058971,12899.99999,0
CC(C)CN(C(=O)C1=C(Cl)C(C(F)(F)F)=CC=C1)[C@H]1CCNC1,5.385102784,3.614897216,4120,1
CC(C)(C)CN(C(=O)C1=C(Cl)C(Cl)=CC=C1)[C@H]1CCNC1,4.774690718,4.225309282,16800.00001,0
CC(C)CN(C(=O)C1=C(Cl)C(Cl)=CC=C1)[C@H]1CCNC1,4.698970004,4.301029996,20000.00002,0
CC(C)CN(C(=O)C1=C(Cl)C=CC(Cl)=C1)[C@H]1CCNC1,4.70333481,4.29666519,19799.99999,0
CC(C)CN(C(=O)C1=CC=CC=C1OC1=CC=CC=C1)[C@H]1CCNC1,5.966576245,3.033423755,1079.999999,1
CC(C)CN1CCC(C2=CC=CC=C2OC2=NC=CC=C2NC(=O)NC2=CC=C(OC(F)(F)F)C=C2)CC1,5.22184875,3.77815125,5999.999995,1
CC(C)(O)COC1=CC(O[C@H]2CCN(C(=O)CC3=CC=C(OC(F)(F)F)C=C3)C[C@@H]2F)=C(C(N)=O)C=C1,4.420216403,4.579783597,38000.00003,0
CC(C)(O)COC1=CC(O[C@H]2CCN(C(=O)CC3=CC=C(OC(F)(F)F)C=C3)C[C@H]2F)=C(C(N)=O)C=C1,4.37675071,4.62324929,41999.99996,0
CC(C)(O)COC1=CC(O[C@@H]2CCN(C(=O)CC3=CC=C(OC(F)(F)F)C=C3)C[C@@H]2F)=C(C(N)=O)C=C1,4.420216403,4.579783597,38000.00003,0
CC(C)(O)COC1=CC(O[C@@H]2CCN(C(=O)CC3=CC=C(OC(F)(F)F)C=C3)C[C@H]2F)=C(C(N)=O)C=C1,4.537602002,4.462397998,29000.00001,0
CC(C)CC1=NC(COCC2(C3=CC=C(F)C=C3)CCN(C)CC2)=CC(C(F)(F)F)=C1,4.920818754,4.079181246,12000,0
CC(C)N(CCC1=C2C=CC=CN2N=C1C1=CC=CC=C1)CC1=CC=C(/C=C/C(=O)NO)C=C1,5.088309841,3.911690159,8160.000005,1
CC(C)N(CCC1=CNC2=CC=CC=C12)CC1=CC=C(/C=C/C(=O)NO)C=C1,5.231361899,3.768638101,5869.999997,1
CC(C)N(C)[C@@H]1CC[C@H](N2CC[C@H](NC(=O)C3=CC(C(C)(C)C)=CC=C3)C2=O)[C@H](CS(=O)(=O)C(C)C)C1,4.113509275,4.886490725,76999.99997,0
CC(C)N(C)[C@@H]1CC[C@H](N2CC[C@H](NC(=O)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C2=O)[C@H](CS(=O)(=O)C2=CC=CC=C2)C1,5.397940009,3.602059991,3999.999997,1
CC(C)N(C)[C@@H]1CC[C@H](N2CC[C@H](NC(=O)C3=CC(C(F)(F)F)=CC=C3)C2=O)[C@H](CS(=O)(=O)C2=CC=CC=C2)C1,4.522878745,4.477121255,30000.00002,0
CC(C)N1CC2=C(C=CC(C3=CC(C4=CN=C(Cl)C=C4)=NO3)=C2)C1=O,4.397940009,4.602059991,39999.99997,0
CC(=O)N1CC2=C(C=CC(S(=O)(=O)CC3CC3)=C2)C1C(=O)NC1=CC=C(C(O)(C(F)(F)F)C(F)(F)F)C=C1,4.744727495,4.255272505,18000,0
CC(C)N1CCCC1CNC(=O)N1CCC(C2=NC(C3=NC4=C(C=CC=C4)C=C3)=NO2)CC1,4.769551079,4.230448921,16999.99999,0
CC(C)N1CC=C(C2=CC=C(/C(C3=CC(O)=CC=C3)=C(/CCCO)C3=CC=CC=C3)C=C2)CC1,4.987162775,4.012837225,10300.00001,0
CC(C)N1CCC(C2=CC=C(/C(C3=CC=C(O)C=C3)=C(/CCCO)C3=C(F)C=C(F)C=C3)C=C2)CC1,4.694648631,4.305351369,20199.99998,0
CC(C)N1CCC(C2=CC=C(/C(C3=CC=C(O)C=C3)=C(/CCCO)C3=CC=C(F)C=C3)C=C2)CC1,4.924453039,4.075546961,11899.99999,0
CC(C)N1CCN(C(=O)N2CCC(CC3=CC=CC=C3)CC2)CC1,4.424592176,4.575407824,37619.05,0
CC(C)N1CCN(C(=O)N2CC3=C(C=CC=C3)C2)CC1,4.711935087,4.288064913,19411.75999,0
CC(C)N1CCN(CCN2CCN(C3=CC(C#N)=CC=C3)C2=O)CC1,4.900000142,4.099999858,12589.25,0
CC(C)N1CCN(CCN2CCN(C3=CC(Cl)=CC=C3)C2=O)CC1,5.200000237,3.799999763,6309.570002,1
CC(C)N1CCN(CCN2CCN(C3=CC(OC(F)(F)F)=CC=C3)C2=O)CC1,5.800000875,3.199999125,1584.889999,1
CC(C)N1CCN(CC2=CC(C#N)=C(C3=CC=C(C(=O)NC4=C(N)C=CC=C4)C=C3)N=C2)CC1,4.719999936,4.280000064,19054.60999,0
CC(=O)N1CCN(CC2=CC3=C(C=C2)C[C@@H](N2CCN(CCC4=CC=C(F)C=C4)CC2=O)CC3)CC1,4.602059991,4.397940009,25000.00002,0
CC(C)N1CCN(C2=CC=C(/C(C3=CC(O)=CC=C3)=C(/CCCO)C3=CC=CC=C3)C=C2)CC1,4.609064893,4.390935107,24599.99999,0
CC(C)N1CCN(C2=CC=C(/C(C3=CC=C(Br)C=C3)=C(/CCCO)C3=CC=CC=C3)C=C2)CC1,4.815308569,4.184691431,15300.00001,0
CC(C)N1CCN(C2=CC=C(/C(C3=CC=C(O)C=C3)=C(/CCCO)C3=CC=CC=C3)C=C2)CC1,4.728158393,4.271841607,18700.00002,0
